model,fit_seconds,generate_1x_seconds,generate_5x_seconds,any_rule_violation_rate,duplicate_row_rate,exact_overlap_with_real_train_rate,tstr_accuracy,tstr_macro_f1,trtr_macro_f1,tstr_minus_trtr_macro_f1,numeric_correlation_mae,group_macro_f1_gap_max_minus_min,group_proportion_tvd,suspiciously_close_rate,output_1x_csv,output_5x_csv
tvae,3.4312064580008155,0.024323416990227997,0.043983958996250294,0.0,0.0,0.0,0.525,0.5319148936170213,0.9622895622895623,-0.43037466867254104,0.08476084407832765,0.4285714285714285,0.08124999999999999,0.075,outputs/day2/synthetic/tvae_1x.csv,outputs/day2/synthetic/tvae_5x.csv
ctgan,3.388970458006952,0.022810333990491927,0.027604667004197836,0.0,0.0,0.0,0.675,0.4756671899529043,0.9622895622895623,-0.486622372336658,0.06908509198006929,0.2863756613756614,0.14375,0.03125,outputs/day2/synthetic/ctgan_1x.csv,outputs/day2/synthetic/ctgan_5x.csv
privbayes,0.387808708997909,0.03027129199472256,0.10803237499203533,0.0,0.0,0.0,0.625,0.3735875706214689,0.9622895622895623,-0.5887019916680933,0.07449410219258698,0.2633986928104576,0.06250000000000001,0.03125,outputs/day2/synthetic/privbayes_1x.csv,outputs/day2/synthetic/privbayes_5x.csv
