resolution,position_number,assembly_indicator,component_number,object_short_text,componentmng_kme,base_amount,compensation_unit,supplier_s_name,vi_plant,vi_plant_name,vi_material,material_description,material_composition,total_weight,weight_unit,material_type,final_destination_of_material_at_plant,source_product_scope,source_sheet,source_file
.......7,0004,,6146299,Pipe bend Safety valve,1.0,ST,ST,,16.0,Vi-Technika Legnica,CW024A R250,Copper alloy,Cu(99.95%) Bi(0.0005%) P(0.007%) Pb(0.005%) Other (0.03%) --- R=Tensile Strength,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0005,X,7909847,ABG union nut G1 1/4 D=34,1.0,ST,ST,,16.0,Vi-Technika Legnica,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
........8,0001,,6095036,Union nut G1 1/4,0.2,ST,ST,,0.0,Third Party,CW617N,Copper alloy - Brass,Zn(39.45%) Cu(58%) Pb(2%) Ni(0.1%) Fe(0.2%) Sn(0.2%) Al(0.05%),,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
........8,0002,,9559909,Union nut 4374D - G1 1/4,0.8,ST,ST,,0.0,Third Party,CW612N,Copper alloy - Brass,"Cu(60%) ZN(36,55%) Fe(0,3%) Ni(0,3%) Pb(2,5%) Sn(0,3%) Al(0,05%)",,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0006,,5895328,Sensor tube D=4 Sensor,1.0,ST,ST,,0.0,Third Party,CW024A R220,Copper alloy,Cu(99.6%) P(0.04%),,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0007,,9543244,"Plumb bob 1,5 x 500 - CP 104",0.004,KG,KG,,0.0,Third Party,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0009,,9049199,"Plumb bob 1,5 x 500 - AG 145",0.02,KG,KG,,0.0,Third Party,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0010,,9543244,Plumb bob 1.5 x 500 - CP 104,0.002,KG,KG,,0.0,Third Party,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0011,,9559909,Union nut 4374D - G1 1/4,1.0,ST,ST,,0.0,Third Party,CW612N,Copper alloy - Brass,"Cu(60%) ZN(36,55%) Fe(0,3%) Ni(0,3%) Pb(2,5%) Sn(0,3%) Al(0,05%)",,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0012,,9571875,"Solder valve body 7/16"" - 29",1.0,ST,ST,,0.0,Third Party,CW614N,Copper alloy - Brass,Zn(39.35%) Cu(57%) Pb(2.5%) Ni(0.3%) Fe(0.5%) Al(0.05%),,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0013,,7977518,Condenser B110 x H40,1.0,ST,ST,,0.0,Third Party,,Third party finished,Third party finished,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0016,,6156662,KM-Ltg. condenser - PHX 4-16kW,1.0,ST,ST,,16.0,Vi-Technika Legnica,CW024A R250,Copper alloy,Cu(99.95%) Bi(0.0005%) P(0.007%) Pb(0.005%) Other (0.03%) --- R=Tensile Strength,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.....5,0015,X,7932842,Preceding 4-way valve 10-16kW B2,1.0,ST,ST,,16.0,Vi-Technika Legnica,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0003,X,7979951,Pre. KM-line 4-way valve-evaporator,1.0,ST,ST,,16.0,Vi-Technika Legnica,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0001,,6148452,KM-Ltg. 4-way valve evaporator 10-16kW,1.0,ST,ST,,16.0,Vi-Technika Legnica,CW024A R250,Copper alloy,Cu(99.95%) Bi(0.0005%) P(0.007%) Pb(0.005%) Other (0.03%) --- R=Tensile Strength,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0002,,9571875,"Solder valve body 7/16"" - 29",1.0,ST,ST,,0.0,Third Party,CW614N,Copper alloy - Brass,Zn(39.35%) Cu(57%) Pb(2.5%) Ni(0.3%) Fe(0.5%) Al(0.05%),,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0003,,9049199,Solder rod 1.5 x 500 - AG 145,0.001,KG,KG,,0.0,Third Party,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0005,X,7965428,Pre KM-line Hotg. 1 Compressor 10-,1.0,ST,ST,,16.0,Vi-Technika Legnica,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0003,,6157124,KM line hot gas 3 compressor 10-16kW,1.0,ST,ST,,16.0,Vi-Technika Legnica,CW024A R250,Copper alloy,Cu(99.95%) Bi(0.0005%) P(0.007%) Pb(0.005%) Other (0.03%) --- R=Tensile Strength,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0004,,6157125,KM line hot gas 4 compressor 10-16kW,1.0,ST,ST,,16.0,Vi-Technika Legnica,CW024A R250,Copper alloy,Cu(99.95%) Bi(0.0005%) P(0.007%) Pb(0.005%) Other (0.03%) --- R=Tensile Strength,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0006,,9543244,Plumb bob 1.5 x 500 - CP 104,0.006,KG,KG,,0.0,Third Party,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0008,,9695266,"High pressure sensor 0...3 MPa 0,5...4,5VDC",1.0,ST,ST,Saginomiya,0.0,Third Party,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0009,X,7949306,"Pressure switch SHD 30,3bar",1.0,ST,ST,,16.0,Vi-Technika Legnica,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
........8,0002,,9696012,"Pressure switch 30,3bar SHD",1.0,ST,ST,Saginomiya,0.0,Third Party,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
........8,0003,,9646247,Socket terminal 2-pole,1.0,ST,ST,Lumberg,0.0,Third Party,PA6 GF,Thermoplastic - PA6 GF,polyamide 6 + glass fiber,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
........8,0004,,9570111,"wire end ferrule D 0,5-1,0mm²",2.0,ST,ST,LAT Lötfreie Anschluß-Technik,0.0,Third Party,2.006,Copper alloy,99.9% - 100% Cu (0 - 0.1% others),,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
........8,0005,,9589722,"cable tie 13,5 - 16",1.0,ST,ST,,0.0,Third Party,PA66,Thermoplastic - PA66,polyamide 66 (or Nylon 66) polyamide 66 (or Nylon 66),,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0010,,5895328,Sensor tube D=4 Sensor,1.0,ST,ST,,0.0,Third Party,CW024A R220,Copper alloy,Cu(99.6%) P(0.04%),,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
