resolution,position_number,assembly_indicator,component_number,object_short_text,componentmng_kme,base_amount,compensation_unit,supplier_s_name,vi_plant,vi_plant_name,vi_material,material_description,material_composition,total_weight,weight_unit,material_type,final_destination_of_material_at_plant,source_product_scope,source_sheet,source_file
.1,0001,,5134619,Felt strip 100 x 50 x 2,2.0,ST,ST,Plastocell,0.0,Third Party,W4002/B/D12P,Packing strip,Packing strip,100.0,g,Packaging,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.1,0002,,5801927,Flammable refrigerant sticker,1.0,ST,ST,,0.0,Third Party,"PP-Folie lamin, selbstklebend",Polypropylene,PolyPropylene,5.0,g,Packaging,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.1,0003,,6147210,mounting bracket,2.0,ST,ST,,0.0,Third Party,DX51D+Z,Non alloy quality Steel,Fe (98.335%) C(0.12%) Si (0.5%) Mn (0.6%) P (0.1%) S (0.045%) Ti (0.3%) + polycarbonate,110.0,g,Packaging,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.1,0004,,6147215,Box - 0200-F2F3,1.0,ST,ST,,0.0,Third Party,2.91 BAA,Cardboard,Paper,7690.0,g,Packaging,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.1,0005,,6160071,EPS pad center pallet ODU,1.0,ST,ST,,0.0,Third Party,PS-E RG45,Thermoplastic - PS,Polystyrol,290.0,g,Packaging,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.1,0006,,6160073,EPS padding outside pallet ODU,2.0,ST,ST,,0.0,Third Party,PS-E RG45,Thermoplastic - PS,Polystyrol,120.0,g,Packaging,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.1,0007,,6163216,POTA ODU VC 25X-A 400V A13 AF,1.0,ST,ST,,1000.0,Third Party products abroad,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.1,0008,,6198998,Type no. Vitocal 25X-A 400V A13 AF,1.0,ST,ST,,0.0,Third Party,PP-Folie lamin,Polypropylene,Polypropylene,5.0,g,Packaging,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.1,0009,,6198203,Type designation ODU 25X-A 400V A13 A,1.0,ST,ST,,16.0,Vi-Technika Legnica,Super Tack CrackBack Plus,Paper,Paper,5.0,g,Packaging,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.1,0010,,6196894,Type designation ODU 25X-A 400V A13 AF,1.0,ST,ST,,0.0,Third Party,PP-Folie lamin,Polypropylene,Polypropylene,5.0,g,Packaging,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.1,0011,,7978515,Pallet ODU,1.0,ST,ST,,0.0,Third Party,Wood,Wood,Wood,10490.0,g,Packaging,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.1,0012,X,7978113,Final assembly ODU4_AF VC 250-A AF 10-13kW 4,1.0,ST,ST,,1000.0,Third Party products abroad,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
..2,0001,,6146127,Shaped hose gas separator BA,1.0,ST,ST,,0.0,Third Party,Butyl,Rubber,Isobutene-isoprene rubber,155.0,g,Third party raw material,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
..2,0002,,6146129,Molded hose RL BA,1.0,ST,ST,,0.0,Third Party,Butyl,Rubber,Isobutene-isoprene rubber,65.0,g,Third party raw material,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
..2,0003,,6146586,Cover air space ODU 4,1.0,ST,ST,,0.0,Third Party,EPP RG60,Thermoplastic - EPP RG60,polypropylene,430.0,g,Third party raw material,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
..2,0004,,6159791,Corrugated hose 32 x 530 with grommet,1.0,ST,ST,,0.0,Third Party,PP,Thermoplastic - PP,Polypropylene,95.0,g,Third party raw material,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
..2,0005,,6160525,Hose nozzle G1 1/4 AG - DN32,1.0,ST,ST,,0.0,Third Party,PA6,Thermoplastic - PA6,Polyamide 6,25.0,g,Third party raw material,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
..2,0006,,7711480,Carrying strap loop with eyelet 12 mm,6.0,ST,ST,,0.0,Third Party,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
..2,0007,X,7929115,Guide rail lks. powdered,1.0,ST,ST,,88.0,unterschiedliche Beschaftung (Different Procurement),,Non alloy quality Steel,Fe (98.335%) C(0.12%) Si (0.5%) Mn (0.6%) P (0.1%) S (0.045%) Ti (0.3%) + polycarbonate,670.0,g,Raw material,Allendorf - Werk 1,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
...3,0001,X,7929105,Left guide rail primed,1.0,ST,ST,,5.0,Vi-Werke Allendorf,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
....4,0002,,6146404,Left guide rail,1.0,ST,ST,,5.0,Vi-Werke Allendorf,DX51D+Z,Non alloy quality Steel,Fe (98.335%) C(0.12%) Si (0.5%) Mn (0.6%) P (0.1%) S (0.045%) Ti (0.3%) + polycarbonate,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
..2,0008,,7929266,Pre-assembly fan W3G500-AL04-10,2.0,ST,ST,ebm-papst,0.0,Third Party,,Third party finished,Third party finished,17240.0,g,Third party finished,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
..2,0009,X,7932680,Components Safety concept,1.0,ST,ST,,16.0,Vi-Technika Legnica,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
...3,0002,,7932344,"Safety valve 3bar 1"" AG",1.0,ST,ST,,0.0,Third Party,,Third party finished,Third party finished,605.0,g,Third party finished,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
...3,0003,X,7929223,Air vent,1.0,ST,ST,,0.0,Third Party,,Third party finished,Third party finished,50.0,g,Third party finished,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
....4,0002,,6146092,Air vent,1.0,ST,ST,,1000.0,Third Party products abroad,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
...3,0004,,7928803,Check valve,1.0,ST,ST,,0.0,Third Party,,Third party finished,Third party finished,300.0,g,Third party finished,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
...3,0005,,7932592,Ball valve/filter AG-hose.,1.0,ST,ST,,0.0,Third Party,,Third party finished,Third party finished,900.0,g,Third party finished,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
...3,0006,X,7980447,ABG BK16 SEV w. Seal,1.0,ST,ST,,16.0,Vi-Technika Legnica,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
....4,0001,X,7980446,SEV stainless steel w. flat gasket,1.0,ST,ST,,16.0,Vi-Technika Legnica,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.....5,0001,X,7953881,Float bleed valve with insulation,1.0,ST,ST,,5.0,Vi-Werke Allendorf,,,,2820.0,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0001,X,7947632,Float vent valve,1.0,ST,ST,,5.0,Vi-Werke Allendorf,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0014,,6158968,Profile seal float air valve,1.0,ST,ST,,0.0,Third Party,EPDM 70Shore,EPDM - Rubber,ethylene propylene diene monomer - rubber - 70 hardness,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0016,,6146538,Gasket outlet,1.0,ST,ST,,0.0,Third Party,EPDM 70Shore,EPDM - Rubber,ethylene propylene diene monomer - rubber - 70 hardness,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0019,X,7929212,Float body S Zsb.,1.0,ST,ST,,0.0,Third Party,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
........8,0002,,6146517,Float upper part S,1.0,ST,ST,,5.0,Vi-Werke Allendorf,POM,Thermoplastic - POM,Polyoxymethylene,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
........8,0003,,6156964,Float lower part wide web,1.0,ST,ST,,1000.0,Third Party products abroad,POM-C,Thermoplastic - POM,Polyoxymethylen,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0023,,9517332,Cheese head screw ISO4762- M4 x 8 -A2-70,6.0,ST,ST,,0.0,Third Party,A2-70,Stainless Steel,Fe(85%) Cr(15%),,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0033,X,7953439,Jacket Impact body,1.0,ST,ST,,5.0,Vi-Werke Allendorf,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
........8,0001,X,7953435,Jacket Clamping ring,1.0,ST,ST,,5.0,Vi-Werke Allendorf,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.........9,0001,,6159925,Clamping ring,1.0,ST,ST,,0.0,Third Party,1.4301,Stainless Steel,Fe (66.7%) C(0.07%) Si(1%) Mn(2%) P(0.045%) S(0.015%) Cr(19.5%) N(0.11%) Ni (10.5%),,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.........9,0002,X,7953386,Jacket VL nipple,1.0,ST,ST,,5.0,Vi-Werke Allendorf,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
........10,0001,X,7953382,Jacket cover top,1.0,ST,ST,,5.0,Vi-Werke Allendorf,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
........11,0001,,6159886,Jacket,1.0,ST,ST,,0.0,Third Party,1.4301,Stainless Steel,Fe (66.7%) C(0.07%) Si(1%) Mn(2%) P(0.045%) S(0.015%) Cr(19.5%) N(0.11%) Ni (10.5%),,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
........11,0002,X,7947630,Cover top Nipple,1.0,ST,ST,,5.0,Vi-Werke Allendorf,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
........12,0001,,6159880,"Welded nipple 3/8""",1.0,ST,ST,,0.0,Third Party,1.4301,Stainless Steel,Fe (66.7%) C(0.07%) Si(1%) Mn(2%) P(0.045%) S(0.015%) Cr(19.5%) N(0.11%) Ni (10.5%),,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
........12,0002,,6159882,Cover top,1.0,ST,ST,,5.0,Vi-Werke Allendorf,1.4301,Stainless Steel,Fe (66.7%) C(0.07%) Si(1%) Mn(2%) P(0.045%) S(0.015%) Cr(19.5%) N(0.11%) Ni (10.5%),,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
........10,0002,,6156901,Nipple G1 1/4,1.0,ST,ST,,0.0,Third Party,1.4301,Stainless Steel,Fe (66.7%) C(0.07%) Si(1%) Mn(2%) P(0.045%) S(0.015%) Cr(19.5%) N(0.11%) Ni (10.5%),,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
........8,0002,X,7947629,Baffle perforated plate,1.0,ST,ST,,5.0,Vi-Werke Allendorf,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.........9,0001,,6159881,Baffle body,1.0,ST,ST,,5.0,Vi-Werke Allendorf,1.4301,Stainless Steel,Fe (66.7%) C(0.07%) Si(1%) Mn(2%) P(0.045%) S(0.015%) Cr(19.5%) N(0.11%) Ni (10.5%),,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.........9,0002,,6156906,Perforated plate Baffle body,1.0,ST,ST,,5.0,Vi-Werke Allendorf,1.4301,Stainless Steel,Fe (66.7%) C(0.07%) Si(1%) Mn(2%) P(0.045%) S(0.015%) Cr(19.5%) N(0.11%) Ni (10.5%),,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0035,X,7953453,Cover bottom Retaining plate,1.0,ST,ST,,5.0,Vi-Werke Allendorf,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
........8,0001,X,7953451,Cover down Hose connection,1.0,ST,ST,,5.0,Vi-Werke Allendorf,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.........9,0001,,6159883,Cover down,1.0,ST,ST,,5.0,Vi-Werke Allendorf,1.4301,Stainless Steel,Fe (66.7%) C(0.07%) Si(1%) Mn(2%) P(0.045%) S(0.015%) Cr(19.5%) N(0.11%) Ni (10.5%),,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.........9,0002,,6159884,Hose connection,1.0,ST,ST,,0.0,Third Party,1.4301,Stainless Steel,Fe (66.7%) C(0.07%) Si(1%) Mn(2%) P(0.045%) S(0.015%) Cr(19.5%) N(0.11%) Ni (10.5%),,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
........8,0002,,6159885,Retaining plate,1.0,ST,ST,,5.0,Vi-Werke Allendorf,1.4301,Stainless Steel,Fe (66.7%) C(0.07%) Si(1%) Mn(2%) P(0.045%) S(0.015%) Cr(19.5%) N(0.11%) Ni (10.5%),,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0036,,9607060,Label 30 x 10 white,1.0,ST,ST,,0.0,Third Party,Papier selbstkl.,Paper,Paper,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0002,X,7953635,Set insulation SEV,1.0,ST,ST,,0.0,Third Party,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0001,,6164416,EPP insulation left,1.0,ST,ST,,1000.0,Third Party products abroad,EPP RG60,Thermoplastic - EPP RG60,polypropylene,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0002,,6164417,EPP insulation right,1.0,ST,ST,,1000.0,Third Party products abroad,EPP RG60,Thermoplastic - EPP RG60,polypropylene,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0004,,7950202,"Shut-off device 3/8"" Caleffi",1.0,ST,ST,,0.0,Third Party,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0005,,9601674,Label 65 x 25,1.0,ST,ST,,0.0,Third Party,Papier,Paper,Paper,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0006,,9525017,"Cable tie 750 x 7,8",1.0,ST,ST,THORA,0.0,Third Party,PA66,Thermoplastic - PA66,polyamide 66 (or Nylon 66) polyamide 66 (or Nylon 66),,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0006,,9525017,"Cable tie 750 x 7,8",1.0,ST,ST,THORA,0.0,Third Party,PA66,Thermoplastic - PA66,polyamide 66 (or Nylon 66) polyamide 66 (or Nylon 66),,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.....5,0002,,9693461,Gasket A 27 x 38 x 2,1.0,ST,ST,,0.0,Third Party,Novapress 850,Elastomer-fiber,polyaramids,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
....4,0002,X,7980445,SEV plastic w. O-ring,0.0,ST,ST,,16.0,Vi-Technika Legnica,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.....5,0001,,9563669,O-ring 28.0 x 2.5,0.0,ST,ST,Hutchinson,0.0,Third Party,EPDM 80Shore,EPDM - Rubber,ethylene propylene diene monomer - rubber - 80 hardness,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.....5,0002,X,7966762,SEV plastic with insulation,0.0,ST,ST,,5.0,Vi-Werke Allendorf,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0001,X,7963513,Float bleeder valve plastic,0.0,ST,ST,,88.0,unterschiedliche Beschaftung (Different Procurement),,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0004,,6146538,Gasket outlet,0.0,ST,ST,,0.0,Third Party,EPDM 70Shore,EPDM - Rubber,ethylene propylene diene monomer - rubber - 70 hardness,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0005,,6180941,Housing lower part SEV,0.0,ST,ST,,0.0,Third Party,PA6T/6I GF40,Thermoplastic - PA6,Polyamide,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0007,,6180942,Housing upper part SEV,0.0,ST,ST,,0.0,Third Party,PA6T/6I GF40,Thermoplastic - PA6,Polyamide,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0008,,6183678,O-ring 124 x 3,0.0,ST,ST,,0.0,Third Party,EPDM 70Shore,EPDM - Rubber,ethylene propylene diene monomer - rubber - 70 hardness,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0010,X,7929212,Float body S Zsb.,0.0,ST,ST,,0.0,Third Party,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
........8,0002,,6146517,Float upper part S,0.0,ST,ST,,5.0,Vi-Werke Allendorf,POM,Thermoplastic - POM,Polyoxymethylene,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
........8,0003,,6156964,Float lower part wide web,0.0,ST,ST,,1000.0,Third Party products abroad,POM-C,Thermoplastic - POM,Polyoxymethylen,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0015,,6182618,Impact body,0.0,ST,ST,,0.0,Third Party,POM-C,Thermoplastic - POM,Polyoxymethylen,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0016,,9607060,Label 30 x 10 white,0.0,ST,ST,,0.0,Third Party,Papier selbstkl.,Paper,Paper,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0001,X,7976090,Set insulation SEV plastic,0.0,ST,ST,,0.0,Third Party,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0001,,6183968,EPP insulation left,0.0,ST,ST,,1000.0,Third Party products abroad,EPP RG60,Thermoplastic - EPP RG60,polypropylene,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0002,,6183969,EPP insulation right,0.0,ST,ST,,1000.0,Third Party products abroad,EPP RG60,Thermoplastic - EPP RG60,polypropylene,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0007,,7966106,"Shut-off device 3/8"" w. O-ring",0.0,ST,ST,Caleffi,0.0,Third Party,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0008,,9601674,Label 65 x 25,0.0,ST,ST,,0.0,Third Party,Papier,Paper,Paper,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0012,,9525017,"Cable tie 750 x 7,8",0.0,ST,ST,THORA,0.0,Third Party,PA66,Thermoplastic - PA66,polyamide 66 (or Nylon 66) polyamide 66 (or Nylon 66),,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0013,,9525017,"Cable tie 750 x 7,8",0.0,ST,ST,THORA,0.0,Third Party,PA66,Thermoplastic - PA66,polyamide 66 (or Nylon 66) polyamide 66 (or Nylon 66),,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
....4,0003,X,7981181,SEV plastic w. O-ring V3,0.0,ST,ST,,16.0,Vi-Technika Legnica,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.....5,0001,,9563669,"O-ring 28,0 x 2,5",0.0,ST,ST,Hutchinson,0.0,Third Party,EPDM 80Shore,EPDM - Rubber,ethylene propylene diene monomer - rubber - 80 hardness,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.....5,0002,X,7981179,SEV plastic with insulation V3,0.0,ST,ST,,1000.0,Third Party products abroad,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0001,X,7976090,Set insulation SEV plastic,0.0,ST,ST,,0.0,Third Party,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0001,,6183968,EPP insulation left,0.0,ST,ST,,1000.0,Third Party products abroad,EPP RG60,Thermoplastic - EPP RG60,polypropylene,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0002,,6183969,EPP insulation right,0.0,ST,ST,,1000.0,Third Party products abroad,EPP RG60,Thermoplastic - EPP RG60,polypropylene,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0001,X,7981177,SEV w. Plastic support ring,0.0,ST,ST,,88.0,unterschiedliche Beschaftung (Different Procurement),,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0004,,6146538,Gasket outlet,0.0,ST,ST,,0.0,Third Party,EPDM 70Shore,EPDM - Rubber,ethylene propylene diene monomer - rubber - 70 hardness,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0005,,6180941,Housing lower part SEV,0.0,ST,ST,,0.0,Third Party,PA6T/6I GF40,Thermoplastic - PA6,Polyamide,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0007,,6180942,Housing upper part SEV,0.0,ST,ST,,0.0,Third Party,PA6T/6I GF40,Thermoplastic - PA6,Polyamide,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0008,,6183678,O-ring 124 x 3,0.0,ST,ST,,0.0,Third Party,EPDM 70Shore,EPDM - Rubber,ethylene propylene diene monomer - rubber - 70 hardness,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0010,X,7929212,Float body S Zsb.,0.0,ST,ST,,0.0,Third Party,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
........8,0002,,6146517,Float upper part S,0.0,ST,ST,,5.0,Vi-Werke Allendorf,POM,Thermoplastic - POM,Polyoxymethylene,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
........8,0003,,6156964,Float lower part wide web,0.0,ST,ST,,1000.0,Third Party products abroad,POM-C,Thermoplastic - POM,Polyoxymethylen,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0015,,6182618,Impact body,0.0,ST,ST,,0.0,Third Party,POM-C,Thermoplastic - POM,Polyoxymethylen,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0016,,9607060,Label 30 x 10 white,0.0,ST,ST,,0.0,Third Party,Papier selbstkl.,Paper,Paper,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0018,,6188766,Support ring K,0.0,ST,ST,,1000.0,Third Party products abroad,PA6T/6I GF40,Thermoplastic - PA6,Polyamide,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0007,,7966106,"Shut-off device 3/8"" w. O-ring",0.0,ST,ST,Caleffi,0.0,Third Party,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0008,,9601674,Label 65 x 25,0.0,ST,ST,,0.0,Third Party,Papier,Paper,Paper,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
