feature,importance
recycled_content_pct,0.5328794661503224
contains_hazardous_substance,0.11975809731297324
mass_g,0.11252914321766483
material_main_plastic,0.03247499267720369
material_main_glass,0.027953203217447667
component_type_cell,0.020478931836736925
material_main_steel,0.018094519239636894
compliance_rohs,0.015631176804549677
supplier_region_APAC,0.015255840348642826
component_type_connector,0.015109860401031608
supplier_region_EU,0.015015161327347986
material_main_aluminum,0.014864269161234712
component_type_pcb,0.01459512281203886
component_type_housing,0.012212475014803072
material_main_copper,0.011802514141371848
supplier_region_NA,0.011306342760416224
supplier_region_Other,0.010038883576577467
